department;position;first_name;last_name;display_name;sex;birthdate;id_card;personal_email;personal_phone;iban;home_street;home_city;home_postal_code;home_country;work_street;work_city;work_postal_code;work_country;language;nationality;employment_type;division;picture
HumanResources;Head Of HR;Alexander;Schmidt;Alexander Schmidt;Male;March 15, 1988;AB567890;Alexander.Schmidt@inalogy.net; +34 67 89 93 45;ZZ12 ABCD 3456 7890 1234 5678; Calle de la Rosa 10; Madrid;28001;Spain;Hodžovo námestie 2979/1;Bratislava;811 01;Slovakia;Spain;Spain;Employee;;
HumanResources;HR Business Partner;Elena;Petrova;Elena Petrova;Female;November 29, 1995;CD123456;Elena.Petrova@inalogy.net; +33 67 45 91 89;ZZ34 EFGH 5678 9012 3456 7890; 25 Rue de la Liberté; Paris;75001;France;Hodžovo námestie 2979/1;Bratislava;812 01;Slovakia;France;France;Employee;;
HumanResources;Recruiting Manager ;Marcus;Rossi;Marcus Rossi;Male;August 7, 1981;EF789012;Marcus.Rossi@inalogy.net; +49 151 2345 6789;ZZ56 IJKL 7890 1234 5678 9012; Hauptstraße 1; Berlin;10115;Germany;Hodžovo námestie 2979/1;Bratislava;813 01;Slovakia;Germany;Germany;Employee;;
HumanResources;HR Manager ;Sophia;Müller;Sophia Müller;Female;May 23, 1990;GH234567;Sophia.Müller@inalogy.net; +44 74 1234 5678;ZZ78 MNOP 9012 3456 7890 1234; 10 Downing Street; London;EC1A;UnitedKingdom;Hodžovo námestie 2979/1;Bratislava;814 01;Slovakia;UnitedKingdom;UnitedKingdom;Employee;;
HumanResources;Benefits Specialist;Lucia;Bianchi;Lucia Bianchi;Female;October 12, 1979;IJ890123;Lucia.Bianchi@inalogy.net; +39 32 456 7890;ZZ90 QRST 1234 5678 9012 3456; Via Roma 123; Rome;100;Italy;Hodžovo námestie 2979/1;Bratislava;815 01;Slovakia;Italy;Italy;Employee;;
HumanResources;Benefits Specialist ;Anna;Kowalczyk;Anna Kowalczyk;Female;January 8, 1985;KL345678;Anna.Kowalczyk@inalogy.net; +31 6 7890 9234;ZZ23 UVWX 3456 7890 1234 5678; Keizersgracht 123; Amsterdam;1011;Netherlands;Hodžovo námestie 2979/1;Bratislava;816 01;Slovakia;Netherlands;Netherlands;Contractor;;
HumanResources;Training and Development Manager;Henrik;Jensen;Henrik Jensen;Male;July 19, 1998;MN901234;Henrik.Jensen@inalogy.net; +46 70 12 345 6789;ZZ45 YZAB 5678 9012 3456 7890; Drottninggatan 1; Stockholm;10005;Sweden;Hodžovo námestie 2979/1;Bratislava;817 01;Slovakia;Sweden;Sweden;Employee;;
HumanResources;Training and Development Manager;Sofia;Santos;Sofia Santos;Female;December 3, 1982;OP456789;Sofia.Santos@inalogy.net; +351 91 234 5678;ZZ67 CDEF 7890 1234 5678 9012; Rua da Liberdade 100; Lisbon;1000;Portugal;Hodžovo námestie 2979/1;Bratislava;818 01;Slovakia;Portugal;Portugal;Contractor;;
HumanResources;Employee Relations Specialist ;Martin;Kováč;Martin Kováč;Male;April 5, 1993;QR012345;Martin.Kováč@inalogy.net; +41 76 987 65 43;ZZ89 GHIJ 9012 3456 7890 1234; Bahnhofstrasse 1; Zurich;8000;Switzerland;Hodžovo námestie 2979/1;Bratislava;819 01;Slovakia;Switzerland;Switzerland;Employee;;
HumanResources;Employee Relations Specialist ;Maria;Papadopoulos;Maria Papadopoulos;Male;September 28, 1977;ST678901;Maria.Papadopoulos@inalogy.net; +32 478 90 12 64;ZZ01 KLMN 1234 5678 9012 3456; Rue de la Loi 10; Brussels;1000;Belgium;Hodžovo námestie 2979/1;Bratislava;820 01;Slovakia;Belgium;Belgium;Contractor;;
HumanResources;DEI Manager;Lars;Andersson;Lars Andersson;Male;June 10, 1983;MN234567;Lars.Andersson@inalogy.net; +43 66 123 4567;ZZ23 OPQR 3456 7890 1234 5678; Stephansplatz 1; Vienna;1010;Austria;Hodžovo námestie 2979/1;Bratislava;821 01;Slovakia;Austria;Austria;Employee;;
HumanResources;DEI Manager;Aisha;Khan;Aisha Khan;Female;February 21, 2000;UV567890;Aisha.Khan@inalogy.net; +47 40 123 456;ZZ45 STUV 5678 9012 3456 7890; Karl Johans gate 1; Oslo;10;Norway;Hodžovo námestie 2979/1;Bratislava;822 01;Slovakia;Norway;Norway;Intern;;
HumanResources;HRIS Specialist;Matteo;Costarica;Matteo Costarica;Male;November 14, 1991;WX123456;Matteo.Costarica@inalogy.net; +45 28 12 34 66;ZZ67 WXYZ 7890 1234 5678 9012; Strøget 1; Copenhagen;1000;Denmark;Hodžovo námestie 2979/1;Bratislava;823 01;Slovakia;Denmark;Denmark;Contractor;;
HumanResources;HRIS Specialist;Ingrid;Olsen;Ingrid Olsen;Female;August 30, 1976;YZ789012;Ingrid.Olsen@inalogy.net; +358 45 678 9092;ZZ89 ABCD 9012 3456 7890 1234; Esplanadi 1; Helsinki;100;Finland;Hodžovo námestie 2979/1;Bratislava;824 01;Slovakia;Finland;Finland;Contractor;;
HumanResources;HR Analytics;Jan;Kowalski;Jan Kowalski;Male;March 4, 1997;AB234567;Jan.Kowalski@inalogy.net; +353 87 654 3290;ZZ01 EFGH 1234 5678 9012 3456; O'Connell Street 1; Dublin;D01;Ireland;Hodžovo námestie 2979/1;Bratislava;825 01;Slovakia;Ireland;Ireland;Employee;;
HumanResources;HR Analytics;Marta;Fernandez;Marta Fernandez;Female;October 25, 1984;CD890123;Marta.Fernandez@inalogy.net; +30 69 8765 4321;ZZ23 IJKL 3456 7890 1234 5678; Λεωφόρος Βασιλίσσης Σοφίας 1; Athens;101;Greece;Hodžovo námestie 2979/1;Bratislava;826 01;Slovakia;Greece;Greece;Part-time;;
HumanResources;HR Compliance Specialist;Andrea;Rossi;Andrea Rossi;Female;July 1, 1989;EF345678;Andrea.Rossi@inalogy.net; +48 56 789 01 23;ZZ45 MNOP 5678 9012 3456 7890; ul. Nowy Świat 1; Warsaw;00-001;Poland;Hodžovo námestie 2979/1;Bratislava;827 01;Slovakia;Poland;Poland;Employee;;
HumanResources;HR Compliance Specialist;Maria;Müller;Maria Müller;Female;April 18, 1992;GH901234;Maria.Müller@inalogy.net; +420 72 345 6789;ZZ67 QRST 7890 1234 5678 9012; Na Příkopě 1; Prague;10000;Czech Republic;Hodžovo námestie 2979/1;Bratislava;828 01;Slovakia;Czech Republic;Czech Republic;Employee;;
HumanResources;Employee Engagement Specialist;Thomas;Schmidt;Thomas Schmidt;Male;December 8, 1978;IJ456789;Thomas.Schmidt@inalogy.net; +36 20 123 9567;ZZ89 UVWX 9012 3456 7890 1234; Andrássy út 1; Budapest;1011;Hungary;Hodžovo námestie 2979/1;Bratislava;829 01;Slovakia;Hungary;Hungary;Part-time;;
HumanResources;Employee Engagement Specialist;Laura;García;Laura García;Female;September 13, 2001;KL012345;Laura.García@inalogy.net; +40 74 567 8901;ZZ01 YZAB 1234 5678 9012 3456; Calea Victoriei 1; Bucharest;10111;Romania;Hodžovo námestie 2979/1;Bratislava;830 01;Slovakia;Romania;Romania;Part-time;;
HumanResources;Onboarding and Offboarding Coordinator;Alice;Fischer;Alice Fischer;Female;February 12, 1987;MN678901;Alice.Fischer@inalogy.net; +34 67 89 01 66;ZZ12 ABCD 3456 7890 1234 5679; Calle de la Rosa 10; Madrid;8001;Spain;Hodžovo námestie 2979/1;Bratislava;831 01;Slovakia;Spain;Spain;Part-time;;
HumanResources;Onboarding and Offboarding Coordinator;Romain;Dupont;Romain Dupont;Male;September 5, 1994;OP234567;Romain.Dupont@inalogy.net; +33 67 45 67 99;ZZ34 EFGH 5678 9012 3456 7891; 25 Rue de la Liberté; Paris;20121;France;Hodžovo námestie 2979/1;Bratislava;832 01;Slovakia;France;France;Employee;;
HumanResources;HR Generalists;Katrin;Weber;Katrin Weber;Female;June 20, 1980;QR890123;Katrin.Weber@inalogy.net; +49 151 23 45 666;ZZ56 IJKL 7890 1234 5678 9013; Hauptstraße 1; Berlin;41101;Germany;Hodžovo námestie 2979/1;Bratislava;833 01;Slovakia;Germany;Germany;Intern;;
HumanResources;HR Generalists;Pavel;Novák;Pavel Novák;Male;January 17, 1991;ST345678;Pavel.Novák@inalogy.net; +44 74 12 34 2278;ZZ78 MNOP 9012 3456 7890 1235; 10 Downing Street; London;75001;United Kingdom;Hodžovo námestie 2979/1;Bratislava;834 01;Slovakia;United Kingdom;United Kingdom;Contractor;;
HumanResources;HR Generalists;Sophie;Dupont;Sophie Dupont;Female;October 29, 1977;UV901234;Sophie.Dupont@inalogy.net; +39 32 45 67 899;ZZ90 QRST 1234 5678 9012 3457; Via Roma 123; Rome;10115;Italy;Hodžovo námestie 2979/1;Bratislava;835 01;Slovakia;Italy;Italy;Part-time;;
HumanResources;HR Assistants ;Petra;Kováčová;Petra Kováčová;Female;April 8, 1984;WX456789;Petra.Kováčová@inalogy.net; +31 6 78 90 1239;ZZ23 UVWX 3456 7890 1234 5679; Herengracht 123; Amsterdam;EC1A;Netherlands;Hodžovo námestie 2979/1;Bratislava;836 01;Slovakia;Netherlands;Netherlands;Part-time;;
HumanResources;HR Assistants ;Filip;Janković;Filip Janković;Male;August 23, 1997;YZ012345;Filip.Janković@inalogy.net; +46 70 12 34 5679;ZZ45 YZAB 5678 9012 3456 7891; Drottninggatan 1; Stockholm;1011;Sweden;Hodžovo námestie 2979/1;Bratislava;837 01;Slovakia;Sweden;Sweden;Contractor;;
HumanResources;HR Assistants ;Elena;Petrovna;Elena Petrovna;Female;March 1, 1982;AB678901;Elena.Petrovna@inalogy.net; +351 91 23 45 679;ZZ67 CDEF 7890 1234 5678 9013; Rua da Liberdade 100; Lisbon;1000;Portugal;Hodžovo námestie 2979/1;Bratislava;838 01;Slovakia;Portugal;Portugal;Part-time;;
Legal;General Counsel ;Maximilian;Fischer;Maximilian Fischer;Male;November 11, 1993;CD234567;Maximilian.Fischer@inalogy.net; +41 76 89 01 238;ZZ89 GHIJ 9012 3456 7890 1235; Bahnhofstrasse 1; Zurich;8000;Switzerland;Hodžovo námestie 2979/1;Bratislava;839 01;Slovakia;Switzerland;Switzerland;Employee;;
Legal;Corporate Counsel Isabelle Dubois;Isabelle;Dubois;Isabelle Dubois;Female;July 14, 1976;EF890123;Isabelle.Dubois@inalogy.net; +32 478 90 12 38;ZZ01 KLMN 1234 5678 9012 3457; Rue de la Loi 10; Brussels;1000;Belgium;Hodžovo námestie 2979/1;Bratislava;840 01;Slovakia;Belgium;Belgium;Employee;;
Legal;Intellectual Property Counsel ;Christian;Andersen;Christian Andersen;Male;May 9, 1988;GH456789;Christian.Andersen@inalogy.net; +43 66 12 34 568;ZZ23 OPQR 3456 7890 1234 5679; Stephansplatz 1; Vienna;1010;Austria;Hodžovo námestie 2979/1;Bratislava;841 01;Slovakia;Austria;Austria;Employee;;
Legal;Contracts Manager Sofia Petrova;Sofia;Petrova;Sofia Petrova;Female;December 22, 2000;AB567891;Sofia.Petrova@inalogy.net; +47 40 12 34 566;ZZ45 STUV 5678 9012 3456 7891; Karl Johans gate 1; Oslo;10;Norway;Hodžovo námestie 2979/1;Bratislava;842 01;Slovakia;Norway;Norway;Employee;;
Legal;Compliance Officer ;Antonia;Müller;Antonia Müller;Female;September 10, 1999;CD123457;Antonia.Müller@inalogy.net; +45 28 12 34 58;ZZ67 WXYZ 7890 1234 5678 9013; Strøget 1; Copenhagen;1000;Denmark;Hodžovo námestie 2979/1;Bratislava;843 01;Slovakia;Denmark;Denmark;Employee;;
Legal;Employment Counsel ;Giovanni;Rossi;Giovanni Rossi;Male;April 25, 1985;EF789013;Giovanni.Rossi@inalogy.net; +358 45 67 89 013;ZZ89 ABCD 9012 3456 7890 1235; Esplanadi 1; Helsinki;100;Finland;Hodžovo námestie 2979/1;Bratislava;844 01;Slovakia;Finland;Finland;Employee;;
Legal;Privacy and Data Protection Counsel ;Kamilia;Lindström;Kamilia Lindström;Female;November 7, 1990;GH234568;Kamilia.Lindström@inalogy.net; +353 87 65 43 211;ZZ01 EFGH 1234 5678 9012 3457; O'Connell Street 1; Dublin;D01;Ireland;Hodžovo námestie 2979/1;Bratislava;845 01;Slovakia;Ireland;Ireland;Contractor;;
Legal;Litigation Counsel ;Matej;Novák;Matej Novák;Male;February 28, 1983;IJ890124;Matej.Novák@inalogy.net; +30 69 87 65 4324;ZZ23 IJKL 3456 7890 1234 5679; Λεωφόρος Βασιλίσσης Σοφίας 1; Athens;101;Greece;Hodžovo námestie 2979/1;Bratislava;846 01;Slovakia;Greece;Greece;Intern;;
Legal;Regulatory Affairs Specialist ;Klaudia;Schmidt;Klaudia Schmidt;Female;June 15, 1979;KL345679;Klaudia.Schmidt@inalogy.net; +48 56 78 90 124;ZZ45 MNOP 5678 9012 3456 7891; ul. Nowy Świat 1; Warsaw;00-001;Poland;Hodžovo námestie 2979/1;Bratislava;847 01;Slovakia;Poland;Poland;Employee;;
Legal;Legal Operations Manager ;Andrej;Conti;Andrej Conti;Male;August 6, 1992;MN901235;Andrej.Conti@inalogy.net; +420 72 34 86 789;ZZ67 QRST 7890 1234 5678 9013; Na Příkopě 1; Prague;10000;Czech Republic;Hodžovo námestie 2979/1;Bratislava;848 01;Slovakia;Czech Republic;Czech Republic;Contractor;;
Legal;Paralegals ;Zuzana;Kovačević;Zuzana Kovačević;Female;March 19, 1978;OP456790;Zuzana.Kovačević@inalogy.net; +36 20 12 38 567;ZZ89 UVWX 9012 3456 7890 1235; Andrássy út 1; Budapest;1011;Hungary;Hodžovo námestie 2979/1;Bratislava;849 01;Slovakia;Hungary;Hungary;Employee;;
Legal;Paralegals ;Denis;Weber;Denis Weber;Male;December 3, 2001;QR012346;Denis.Weber@inalogy.net; +40 74 56 77 9012;ZZ01 YZAB 1234 5678 9012 3457; Calea Victoriei 1; Bucharest;10111;Romania;Hodžovo námestie 2979/1;Bratislava;850 01;Slovakia;Romania;Romania;Part-time;;
Legal;Legal Assistants ;Laura;Müller;Laura Müller;Female;July 27, 1986;ST678902;Laura.Müller@inalogy.net; +34 67 89 23 45;ZZ12 ABCD 3456 7890 1234 5680; Avenida de la Constitución 1; Barcelona;8001;Spain;Hodžovo námestie 2979/1;Bratislava;851 01;Slovakia;Spain;Spain;Employee;;
Legal;Legal Assistants ;Rafael;López;Rafael López;Male;April 14, 1995;KL678901;Rafael.López@inalogy.net; +33 67 45 21 89;ZZ34 EFGH 5678 9012 3456 7892; 15 Rue du Faubourg Saint-Honoré; Paris;75001;France;Hodžovo námestie 2979/1;Bratislava;852 01;Slovakia;France;France;Part-time;;
Legal;Compliance Analysts ;Elena;Popova;Elena Popova;Female;November 3, 1981;UV567891;Elena.Popova@inalogy.net; +49 151 23 75 678;ZZ56 IJKL 7890 1234 5678 9014; Alexanderplatz 1; Berlin;10115;Germany;Hodžovo námestie 2979/1;Bratislava;853 01;Slovakia;Germany;Germany;Part-time;;
Legal;Compliance Analysts ;Marco;Rossi;Marco Rossi;Male;August 18, 1990;WX123457;Marco.Rossi@inalogy.net; +44 74 12 55 5678;ZZ78 MNOP 9012 3456 7890 1236; Buckingham Palace Road; London;EC1A;United Kingdom;Hodžovo námestie 2979/1;Bratislava;854 01;Slovakia;United Kingdom;United Kingdom;Contractor;;
